date,time,sec_dur
"12-28-15  ","11:48     ",3
"12-28-15  ","11:48     ",919
"12-28-15  ","11:48     ",134
"12-28-15  ","11:48     ",141
"12-28-15  ","11:48     ",2030
"12-28-15  ","11:48     ",1581
"12-28-15  ","11:48     ",495
"12-28-15  ","11:48     ",45
"12-28-15  ","11:48     ",224
"12-28-15  ","11:48     ",1112
"12-28-15  ","11:48     ",567
"12-28-15  ","11:49     ",3
"12-28-15  ","11:49     ",63
"12-28-15  ","11:49     ",172
"12-28-15  ","11:49     ",18
"12-28-15  ","11:49     ",52
"12-28-15  ","11:49     ",104
"12-28-15  ","11:49     ",206
"12-28-15  ","11:49     ",141
"12-28-15  ","11:49     ",141
"12-28-15  ","11:49     ",182
"12-28-15  ","11:49     ",352
"12-28-15  ","11:49     ",41
"12-28-15  ","11:49     ",1158
"12-28-15  ","11:49     ",371
"12-28-15  ","11:50     ",138
"12-28-15  ","11:50     ",154
"12-28-15  ","11:50     ",141
"12-28-15  ","11:50     ",42
"12-28-15  ","11:50     ",253
"12-28-15  ","11:50     ",89
"12-28-15  ","11:50     ",38
"12-28-15  ","11:51     ",1795
"12-28-15  ","11:51     ",950
"12-28-15  ","11:51     ",47
"12-28-15  ","11:51     ",470
"12-28-15  ","11:51     ",147
"12-28-15  ","11:51     ",77
"12-28-15  ","11:51     ",175
"12-28-15  ","11:51     ",1714
"12-28-15  ","11:51     ",140
"12-28-15  ","11:51     ",115
"12-28-15  ","11:51     ",85
"12-28-15  ","11:51     ",184
"12-28-15  ","11:51     ",141
"12-28-15  ","11:52     ",140
"12-28-15  ","11:52     ",385
"12-28-15  ","11:52     ",56
"12-28-15  ","11:52     ",416
"12-28-15  ","11:52     ",141
"12-28-15  ","11:52     ",62
"12-28-15  ","11:52     ",194
"12-28-15  ","11:52     ",6
"12-28-15  ","11:52     ",1368
"12-28-15  ","11:52     ",40
"12-28-15  ","11:52     ",527
"12-28-15  ","11:52     ",69
"12-28-15  ","11:52     ",13
"12-28-15  ","11:53     ",49
"12-28-15  ","11:53     ",4
"12-28-15  ","11:53     ",141
"12-28-15  ","11:53     ",259
"12-28-15  ","11:53     ",109
"12-28-15  ","11:53     ",141
"12-28-15  ","11:53     ",1180
"12-28-15  ","11:53     ",1302
"12-28-15  ","11:53     ",136
"12-28-15  ","11:53     ",618
"12-28-15  ","11:53     ",1865
"12-28-15  ","11:53     ",278
"12-28-15  ","11:53     ",43
